iter	Passed	Remaining
0	47	47046
1	48	24306
2	51	17270
3	54	13607
4	56	11244
5	59	9912
6	62	8800
7	65	8083
8	66	7267
9	68	6748
10	71	6392
11	74	6097
12	78	5958
13	81	5725
14	83	5510
15	85	5260
16	85	4958
17	87	4763
18	89	4630
19	91	4506
20	94	4398
21	96	4293
22	99	4217
23	101	4139
24	104	4059
25	104	3915
26	104	3773
27	106	3702
28	108	3645
29	111	3591
30	113	3545
31	115	3497
32	118	3464
33	120	3430
34	123	3394
35	124	3340
36	124	3252
37	125	3180
38	127	3152
39	130	3127
40	132	3100
41	134	3076
42	137	3058
43	139	3038
44	142	3016
45	143	2982
46	143	2919
47	144	2869
48	147	2853
49	149	2836
50	151	2819
51	154	2811
52	156	2803
53	159	2791
54	161	2778
55	163	2756
56	164	2714
57	164	2667
58	165	2647
59	168	2638
60	170	2624
61	172	2617
62	175	2614
63	178	2606
64	180	2598
65	182	2587
66	184	2563
67	184	2526
68	185	2504
69	187	2495
70	189	2485
71	192	2481
72	195	2477
73	197	2472
74	199	2464
75	202	2456
76	203	2436
77	203	2404
78	204	2386
79	207	2383
80	209	2379
81	212	2378
82	214	2373
83	217	2367
84	219	2362
85	221	2356
86	223	2344
87	223	2316
88	223	2290
89	225	2281
90	227	2276
91	230	2273
92	232	2268
93	235	2265
94	237	2261
95	239	2257
96	242	2253
97	242	2231
98	242	2208
99	244	2200
100	246	2197
101	248	2192
102	250	2184
103	253	2182
104	255	2179
105	257	2169
106	259	2165
107	261	2162
108	262	2144
109	262	2124
110	262	2105
111	265	2101
112	267	2098
113	269	2094
114	272	2094
115	274	2093
116	276	2090
117	279	2087
118	281	2083
119	281	2065
120	281	2047
121	283	2043
122	286	2039
123	288	2036
124	290	2035
125	293	2037
126	296	2035
127	298	2032
128	300	2029
129	301	2019
130	302	2003
131	302	1992
132	305	1989
133	307	1986
134	310	1987
135	312	1986
136	315	1986
137	317	1983
138	319	1980
139	321	1972
140	321	1957
141	322	1946
142	324	1944
143	326	1941
144	328	1939
145	331	1937
146	333	1935
147	335	1933
148	338	1931
149	340	1929
150	340	1915
151	341	1904
152	343	1902
153	346	1901
154	348	1898
155	350	1896
156	352	1894
157	355	1893
158	357	1891
159	359	1889
160	360	1877
161	361	1871
162	364	1870
163	366	1868
164	368	1866
165	370	1863
166	373	1862
167	375	1859
168	377	1857
169	380	1856
170	380	1844
171	380	1832
172	381	1822
173	384	1823
174	386	1823
175	389	1821
176	391	1819
177	393	1817
178	395	1815
179	397	1812
180	399	1807
181	399	1795
182	400	1789
183	403	1787
184	405	1785
185	407	1783
186	409	1781
187	412	1780
188	414	1779
189	416	1776
190	419	1774
191	419	1765
192	419	1755
193	421	1750
194	423	1748
195	426	1748
196	428	1746
197	430	1745
198	433	1743
199	435	1741
200	437	1739
201	439	1737
202	439	1727
203	440	1718
204	442	1716
205	445	1715
206	447	1715
207	450	1713
208	452	1711
209	454	1709
210	456	1707
211	458	1705
212	459	1696
213	459	1686
214	461	1685
215	464	1684
216	467	1686
217	469	1685
218	472	1684
219	474	1682
220	477	1681
221	479	1679
222	479	1670
223	479	1661
224	482	1660
225	484	1658
226	486	1656
227	489	1656
228	491	1655
229	494	1654
230	496	1652
231	498	1649
232	498	1640
233	498	1632
234	501	1631
235	503	1629
236	505	1628
237	508	1627
238	510	1625
239	513	1625
240	515	1623
241	517	1621
242	518	1614
243	518	1606
244	520	1603
245	522	1601
246	525	1600
247	527	1599
248	530	1598
249	532	1597
250	535	1596
251	537	1594
252	537	1586
253	537	1579
254	539	1577
255	542	1576
256	544	1575
257	547	1574
258	550	1573
259	552	1572
260	554	1569
261	556	1567
262	557	1562
263	557	1554
264	559	1550
265	561	1550
266	564	1549
267	566	1547
268	569	1546
269	571	1544
270	573	1542
271	575	1541
272	576	1535
273	576	1528
274	578	1524
275	580	1523
276	583	1522
277	585	1520
278	587	1518
279	589	1516
280	592	1514
281	594	1512
282	596	1510
283	596	1504
284	596	1497
285	598	1495
286	601	1493
287	603	1492
288	605	1490
289	608	1489
290	610	1488
291	613	1486
292	615	1484
293	615	1478
294	615	1471
295	618	1470
296	620	1468
297	623	1467
298	625	1467
299	628	1465
300	630	1463
301	632	1461
302	634	1459
303	635	1455
304	636	1449
305	637	1444
306	639	1442
307	642	1442
308	644	1441
309	646	1439
310	649	1438
311	651	1436
312	653	1434
313	655	1433
314	656	1426
315	656	1420
316	658	1418
317	660	1416
318	662	1414
319	665	1413
320	667	1412
321	669	1410
322	672	1409
323	674	1408
324	675	1402
325	675	1396
326	677	1395
327	680	1393
328	682	1391
329	684	1390
330	687	1388
331	689	1387
332	691	1385
333	694	1384
334	695	1379
335	695	1373
336	696	1371
337	699	1369
338	701	1368
339	703	1366
340	706	1365
341	708	1363
342	711	1362
343	713	1361
344	713	1355
345	714	1349
346	716	1347
347	718	1345
348	720	1344
349	723	1342
350	725	1341
351	728	1340
352	730	1339
353	733	1338
354	733	1333
355	734	1328
356	736	1325
357	738	1324
358	740	1322
359	742	1320
360	745	1319
361	747	1318
362	750	1316
363	752	1314
364	752	1309
365	753	1304
366	754	1301
367	756	1299
368	758	1297
369	761	1296
370	764	1295
371	766	1293
372	768	1292
373	771	1290
374	773	1288
375	773	1283
376	773	1278
377	776	1276
378	778	1275
379	781	1274
380	783	1273
381	786	1271
382	788	1270
383	790	1268
384	792	1265
385	792	1260
386	793	1256
387	795	1254
388	797	1253
389	800	1251
390	802	1250
391	805	1249
392	807	1247
393	810	1245
394	812	1244
395	812	1239
396	812	1234
397	814	1232
