iter	Passed	Remaining
0	1	1231
1	1	758
2	1	613
3	2	534
4	3	605
5	3	555
6	3	516
7	3	485
8	4	462
9	4	445
10	4	433
11	5	419
12	5	406
13	5	396
14	5	386
15	6	378
16	6	371
17	7	435
18	8	426
19	8	417
20	8	409
21	9	402
22	9	395
23	10	427
24	11	451
25	11	442
26	12	466
27	13	476
28	13	468
29	14	458
30	14	457
31	15	480
32	16	473
33	17	487
34	17	487
35	17	479
36	18	492
37	19	506
38	20	496
39	20	488
40	20	481
41	20	474
42	21	485
43	22	479
44	22	472
45	22	466
46	22	460
47	22	454
48	24	469
49	24	463
50	24	458
51	25	457
52	25	452
53	25	447
54	25	442
55	25	437
56	26	445
57	27	440
58	27	436
59	27	431
60	28	434
61	28	430
62	28	426
63	28	422
64	29	425
65	29	422
66	30	418
67	30	414
68	30	410
69	30	406
70	30	404
71	31	400
72	31	397
73	31	394
74	31	390
75	32	391
76	32	389
77	32	386
78	32	383
79	33	381
80	33	378
81	34	382
82	34	379
83	34	377
84	34	375
85	35	373
86	35	371
87	35	369
88	35	366
89	36	364
90	36	362
91	36	360
92	36	358
93	37	356
94	37	354
95	37	353
96	37	351
97	37	349
98	38	348
99	38	346
100	38	345
101	39	343
102	39	341
103	39	339
104	40	342
105	40	340
106	40	338
107	40	337
108	41	336
109	41	334
110	41	333
111	41	331
112	42	330
113	42	329
114	42	328
115	42	326
116	43	325
117	43	324
118	43	323
119	43	322
120	44	320
121	44	319
122	44	318
123	44	317
124	45	316
125	45	315
126	45	314
127	46	318
128	47	317
129	47	316
130	47	315
131	47	314
132	48	314
133	48	313
134	48	312
135	49	311
136	49	310
137	49	309
138	49	308
139	50	308
140	50	307
141	50	306
142	50	305
143	51	304
144	51	304
145	51	303
146	52	306
147	53	305
148	53	304
149	53	304
150	54	303
151	54	302
152	54	302
153	54	301
154	55	300
155	55	298
156	55	298
157	55	297
158	56	296
159	56	296
160	56	295
161	56	294
162	57	293
163	57	293
164	57	292
165	58	291
166	58	293
167	59	293
168	59	292
169	59	291
170	60	291
171	60	290
172	60	289
173	60	289
174	61	288
175	61	287
176	61	287
177	62	286
178	62	285
179	62	285
180	63	285
181	63	284
182	63	283
